"Opps","Form","ItemId","Subject","Grade","Reporting_Category","Knowledge_and_Skill","Subject_Grade","difficulty","P.Value","ScorePoints","model","P0","P1","P2"
"Opportunity 3","Easy","A63716","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",0.0528784275778635,0.79,1,"logit",1,0.0528784275778635,0
"Opportunity 2","Easy","A37417","Language Arts",4,"4.Writing","4.Writing.5","Language Arts_G4",-1.72411712850624,0.62,1,"logit",1,-1.72411712850624,0
"Opportunity 1","Easy","A37080","Natural Science",5,"3.Earth Science","3.Earth Science.4","Natural Science_G5",-1.08170512174042,0.63,1,"logit",1,-1.08170512174042,0
"Opportunity 2","Easy","A24033","Natural Science",5,"4.Chemistry","4.Chemistry.4","Natural Science_G5",0.343170816387242,0.79,1,"logit",1,0.343170816387242,0
"Opportunity 1","Easy","A44089","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",-1.41158037569627,0.73,1,"logit",1,-1.41158037569627,0
"Opportunity 1","Easy","A34901","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-2.30788867265912,0.77,1,"logit",1,-2.30788867265912,0
"Opportunity 1","Easy","A79653","Math",3,"4.Measurement","4.Measurement.6","Math_G3",-1.28954657927092,0.98,2,"adjacent logit",-1.59620030913339,-0.982892849408443,NA
"Opportunity 3","Easy","A69906","Math",3,"4.Measurement","4.Measurement.2","Math_G3",-1.37988538697268,0.93,2,"adjacent logit",-3.46524539372021,0.705474619774844,NA
"Opportunity 3","Easy","A80001","Language Arts",4,"3.Grammar","3.Grammar.5","Language Arts_G4",0.25114779263118,0.73,1,"logit",1,0.25114779263118,0
"Opportunity 1","Easy","A89225","Math",3,"2.Algebra","2.Algebra.6","Math_G3",-0.0257294278576246,0.92,1,"logit",1,-0.0257294278576246,0
"Opportunity 3","Easy","A28401","Natural Science",5,"4.Chemistry","4.Chemistry.4","Natural Science_G5",0.874695789069756,0.84,1,"logit",1,0.874695789069756,0
"Opportunity 3","Easy","A89539","Natural Science",5,"2.Physics","2.Physics.3","Natural Science_G5",-0.591277033521107,0.77,1,"logit",1,-0.591277033521107,0
"Opportunity 1","Easy","A70139","Math",3,"4.Measurement","4.Measurement.3","Math_G3",-0.312618585996246,0.93,1,"logit",1,-0.312618585996246,0
"Opportunity 1","Easy","A79801","Math",3,"2.Algebra","2.Algebra.5","Math_G3",-1.65933594889804,0.5,1,"logit",1,-1.65933594889804,0
"Opportunity 1","Easy","A19602","Natural Science",5,"2.Physics","2.Physics.4","Natural Science_G5",-3.02653915502476,0.98,1,"logit",1,-3.02653915502476,0
"Opportunity 3","Easy","A50863","Natural Science",5,"2.Physics","2.Physics.4","Natural Science_G5",-1.10973549686313,0.83,1,"logit",1,-1.10973549686313,0
"Opportunity 1","Easy","A63660","Math",3,"1.Probability","1.Probability.1","Math_G3",-1.38681837382825,0.82,1,"logit",1,-1.38681837382825,0
"Opportunity 2","Easy","A93667","Natural Science",5,"1.Biology","1.Biology.5","Natural Science_G5",-0.934752262840863,0.51,1,"logit",1,-0.934752262840863,0
"Opportunity 3","Easy","A27520","Math",3,"1.Probability","1.Probability.1","Math_G3",0.392754400869685,0.64,1,"logit",1,0.392754400869685,0
"Opportunity 3","Easy","A28099","Natural Science",5,"2.Physics","2.Physics.6","Natural Science_G5",-1.46291965084982,0.66,1,"logit",1,-1.46291965084982,0
"Opportunity 2","Easy","A56678","Math",3,"4.Measurement","4.Measurement.1","Math_G3",-0.476924752822947,0.71,1,"logit",1,-0.476924752822947,0
"Opportunity 1","Easy","A57984","Math",3,"1.Probability","1.Probability.4","Math_G3",-0.00289410766850595,0.89,1,"logit",1,-0.00289410766850595,0
"Opportunity 2","Easy","A31943","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-1.07069133713448,0.5,1,"logit",1,-1.07069133713448,0
"Opportunity 2","Easy","A22619","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",-0.678777274233071,0.63,1,"logit",1,-0.678777274233071,0
"Opportunity 1","Easy","A42702","Math",3,"3.Geometry","3.Geometry.4","Math_G3",0.377167592861144,0.83,1,"logit",1,0.377167592861144,0
"Opportunity 2","Easy","A20460","Math",3,"4.Measurement","4.Measurement.3","Math_G3",0.103475422927029,0.83,2,"adjacent logit",-2.75232816581808,2.95927901167214,NA
"Opportunity 3","Easy","A62205","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-2.698344411304,1,1,"logit",1,-2.698344411304,0
"Opportunity 1","Easy","A70759","Math",3,"2.Algebra","2.Algebra.3","Math_G3",-1.19988462060656,0.92,1,"logit",1,-1.19988462060656,0
"Opportunity 3","Easy","A15944","Math",3,"1.Probability","1.Probability.4","Math_G3",-2.26739839227601,0.91,1,"logit",1,-2.26739839227601,0
"Opportunity 1","Easy","A34824","Language Arts",4,"2.Reading","2.Reading.3","Language Arts_G4",-0.9649372707374,0.55,1,"logit",1,-0.9649372707374,0
"Opportunity 1","Easy","A25859","Natural Science",5,"2.Physics","2.Physics.2","Natural Science_G5",1.35434721321623,0.82,1,"logit",1,1.35434721321623,0
"Opportunity 2","Easy","A70260","Math",3,"3.Geometry","3.Geometry.5","Math_G3",0.128714591273937,0.67,1,"logit",1,0.128714591273937,0
"Opportunity 2","Easy","A75326","Language Arts",4,"4.Writing","4.Writing.3","Language Arts_G4",-1.04826606139125,0.96,1,"logit",1,-1.04826606139125,0
"Opportunity 1","Easy","A46090","Language Arts",4,"1.Vocabulary","1.Vocabulary.3","Language Arts_G4",-2.9424682663552,0.83,1,"logit",1,-2.9424682663552,0
"Opportunity 3","Easy","A68715","Math",3,"3.Geometry","3.Geometry.6","Math_G3",0.03677192796965,0.76,2,"adjacent logit",-2.34514178387945,2.41868563981875,NA
"Opportunity 2","Easy","A63207","Language Arts",4,"2.Reading","2.Reading.4","Language Arts_G4",-0.49659171790577,0.74,1,"logit",1,-0.49659171790577,0
"Opportunity 3","Easy","A60514","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",-1.18926810351802,0.81,1,"logit",1,-1.18926810351802,0
"Opportunity 3","Easy","A58905","Language Arts",4,"4.Writing","4.Writing.5","Language Arts_G4",-2.00685928312385,0.72,1,"logit",1,-2.00685928312385,0
"Opportunity 2","Easy","A61882","Math",3,"4.Measurement","4.Measurement.5","Math_G3",-0.185667855195607,0.77,1,"logit",1,-0.185667855195607,0
"Opportunity 1","Easy","A31744","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-1.02459455578852,0.84,1,"logit",1,-1.02459455578852,0
"Opportunity 3","Easy","A57270","Natural Science",5,"1.Biology","1.Biology.2","Natural Science_G5",0.660056756328465,0.8,2,"adjacent logit",0.231081759478907,1.08903175317802,NA
"Opportunity 2","Easy","A85964","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-0.246513340224135,0.6,1,"logit",1,-0.246513340224135,0
"Opportunity 3","Easy","A95232","Language Arts",4,"2.Reading","2.Reading.6","Language Arts_G4",-1.97388708517223,0.52,2,"adjacent logit",-2.88912164824024,-1.05865252210422,NA
"Opportunity 3","Easy","A93479","Language Arts",4,"3.Grammar","3.Grammar.1","Language Arts_G4",-1.31891278667055,0.5,2,"adjacent logit",-3.68677495509347,1.04894938175237,NA
"Opportunity 1","Easy","A76375","Language Arts",4,"2.Reading","2.Reading.2","Language Arts_G4",-1.53943588442514,0.67,1,"logit",1,-1.53943588442514,0
"Opportunity 2","Easy","A81044","Language Arts",4,"2.Reading","2.Reading.4","Language Arts_G4",0.85081348451802,0.72,1,"logit",1,0.85081348451802,0
"Opportunity 2","Easy","A26077","Natural Science",5,"2.Physics","2.Physics.3","Natural Science_G5",-0.681147385169734,0.96,1,"logit",1,-0.681147385169734,0
"Opportunity 2","Easy","A44005","Math",3,"1.Probability","1.Probability.6","Math_G3",-0.856204244558258,0.69,1,"logit",1,-0.856204244558258,0
"Opportunity 3","Easy","A10019","Natural Science",5,"1.Biology","1.Biology.3","Natural Science_G5",-0.571923666884829,0.83,1,"logit",1,-0.571923666884829,0
"Opportunity 2","Easy","A20995","Math",3,"3.Geometry","3.Geometry.5","Math_G3",-0.474726998291053,0.54,1,"logit",1,-0.474726998291053,0
"Opportunity 3","Easy","A14169","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-1.13792481728861,0.59,1,"logit",1,-1.13792481728861,0
"Opportunity 3","Easy","A87097","Math",3,"3.Geometry","3.Geometry.6","Math_G3",-0.990907889316463,0.63,1,"logit",1,-0.990907889316463,0
"Opportunity 3","Easy","A63949","Math",3,"2.Algebra","2.Algebra.2","Math_G3",-0.937943971018422,0.8,1,"logit",1,-0.937943971018422,0
"Opportunity 1","Easy","A10459","Language Arts",4,"4.Writing","4.Writing.6","Language Arts_G4",-0.0659774551083728,0.52,1,"logit",1,-0.0659774551083728,0
"Opportunity 3","Easy","A63745","Natural Science",5,"2.Physics","2.Physics.3","Natural Science_G5",0.925446675009532,0.65,1,"logit",1,0.925446675009532,0
"Opportunity 2","Easy","A60647","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-0.80393001229026,0.74,1,"logit",1,-0.80393001229026,0
"Opportunity 2","Easy","A63451","Math",3,"4.Measurement","4.Measurement.3","Math_G3",-0.192317452367292,0.76,1,"logit",1,-0.192317452367292,0
"Opportunity 3","Easy","A12141","Math",3,"4.Measurement","4.Measurement.6","Math_G3",-0.760214686903922,0.85,1,"logit",1,-0.760214686903922,0
"Opportunity 2","Easy","A38416","Language Arts",4,"3.Grammar","3.Grammar.3","Language Arts_G4",-0.99936439196233,0.69,1,"logit",1,-0.99936439196233,0
"Opportunity 1","Easy","A15217","Language Arts",4,"4.Writing","4.Writing.5","Language Arts_G4",-1.54967835834104,0.71,1,"logit",1,-1.54967835834104,0
"Opportunity 3","Easy","A69986","Math",3,"3.Geometry","3.Geometry.6","Math_G3",-0.0685719461157231,0.57,1,"logit",1,-0.0685719461157231,0
"Opportunity 3","Easy","A61840","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",-0.235075964576708,0.53,1,"logit",1,-0.235075964576708,0
"Opportunity 1","Easy","A36490","Language Arts",4,"2.Reading","2.Reading.6","Language Arts_G4",-0.338960584394845,0.95,2,"adjacent logit",-3.49529508953906,2.81737392074937,NA
"Opportunity 3","Easy","A19470","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-0.995914822690056,0.64,2,"adjacent logit",-3.53960929262351,1.54777964724339,NA
"Opportunity 1","Easy","A81146","Math",3,"2.Algebra","2.Algebra.4","Math_G3",0.254350176811576,0.79,2,"adjacent logit",-3.18609096389693,3.69479131752008,NA
"Opportunity 1","Easy","A61261","Language Arts",4,"4.Writing","4.Writing.5","Language Arts_G4",-1.6303882169309,0.85,1,"logit",1,-1.6303882169309,0
"Opportunity 3","Easy","A87506","Language Arts",4,"3.Grammar","3.Grammar.4","Language Arts_G4",-2.18426971581045,0.78,1,"logit",1,-2.18426971581045,0
"Opportunity 3","Easy","A99422","Math",3,"1.Probability","1.Probability.4","Math_G3",-1.4377034342932,0.92,1,"logit",1,-1.4377034342932,0
"Opportunity 2","Easy","A40073","Language Arts",4,"1.Vocabulary","1.Vocabulary.6","Language Arts_G4",-0.692474726755408,0.74,1,"logit",1,-0.692474726755408,0
"Opportunity 3","Easy","A61736","Language Arts",4,"2.Reading","2.Reading.6","Language Arts_G4",-2.68894156069494,0.91,1,"logit",1,-2.68894156069494,0
"Opportunity 1","Easy","A31118","Natural Science",5,"4.Chemistry","4.Chemistry.3","Natural Science_G5",-0.620286001621293,0.65,1,"logit",1,-0.620286001621293,0
"Opportunity 3","Easy","A89725","Language Arts",4,"2.Reading","2.Reading.1","Language Arts_G4",-3.98976184684461,0.87,1,"logit",1,-3.98976184684461,0
"Opportunity 3","Easy","A26215","Natural Science",5,"1.Biology","1.Biology.3","Natural Science_G5",0.0394493314764416,0.95,1,"logit",1,0.0394493314764416,0
"Opportunity 2","Easy","A22790","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-0.838164189974111,0.64,1,"logit",1,-0.838164189974111,0
"Opportunity 2","Easy","A53789","Language Arts",4,"3.Grammar","3.Grammar.6","Language Arts_G4",-0.509038666004292,0.57,1,"logit",1,-0.509038666004292,0
"Opportunity 3","Easy","A47102","Language Arts",4,"3.Grammar","3.Grammar.3","Language Arts_G4",0.0844639140731647,0.94,1,"logit",1,0.0844639140731647,0
"Opportunity 3","Easy","A83469","Math",3,"3.Geometry","3.Geometry.6","Math_G3",-2.41828704349701,0.52,1,"logit",1,-2.41828704349701,0
"Opportunity 3","Easy","A26981","Language Arts",4,"4.Writing","4.Writing.6","Language Arts_G4",-0.874769154582479,0.91,1,"logit",1,-0.874769154582479,0
"Opportunity 3","Easy","A48576","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",1.26760450260465,0.55,1,"logit",1,1.26760450260465,0
"Opportunity 2","Easy","A45657","Language Arts",4,"3.Grammar","3.Grammar.2","Language Arts_G4",-0.61064202240115,0.74,2,"adjacent logit",-1.10741941184922,-0.113864632953085,NA
"Opportunity 1","Easy","A52762","Natural Science",5,"1.Biology","1.Biology.3","Natural Science_G5",-1.55808297266702,0.94,1,"logit",1,-1.55808297266702,0
"Opportunity 1","Easy","A76177","Language Arts",4,"2.Reading","2.Reading.4","Language Arts_G4",-0.968295627013245,0.55,2,"adjacent logit",-2.55118846066436,0.614597206637866,NA
"Opportunity 2","Easy","A47323","Math",3,"3.Geometry","3.Geometry.3","Math_G3",-1.73257890440509,0.95,2,"adjacent logit",-2.24571416011173,-1.21944364869845,NA
"Opportunity 3","Easy","A50915","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",-0.867771864351045,0.96,1,"logit",1,-0.867771864351045,0
"Opportunity 1","Easy","A55398","Language Arts",4,"2.Reading","2.Reading.1","Language Arts_G4",-0.0526669959279251,0.57,1,"logit",1,-0.0526669959279251,0
"Opportunity 3","Easy","A20452","Natural Science",5,"3.Earth Science","3.Earth Science.2","Natural Science_G5",0.587999447818099,0.52,1,"logit",1,0.587999447818099,0
"Opportunity 2","Easy","A42451","Natural Science",5,"4.Chemistry","4.Chemistry.4","Natural Science_G5",-0.568708711110945,0.94,2,"adjacent logit",-2.41440421444149,1.2769867922196,NA
"Opportunity 1","Easy","A51743","Math",3,"1.Probability","1.Probability.4","Math_G3",-0.935115918813577,0.9,1,"logit",1,-0.935115918813577,0
"Opportunity 1","Easy","A34447","Natural Science",5,"1.Biology","1.Biology.5","Natural Science_G5",-1.83383653660847,0.67,1,"logit",1,-1.83383653660847,0
"Opportunity 3","Easy","A69830","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",-0.858657045140746,0.68,2,"adjacent logit",-2.40734626260603,0.690032172324534,NA
"Opportunity 2","Easy","A36930","Language Arts",4,"1.Vocabulary","1.Vocabulary.6","Language Arts_G4",-0.508202223976896,0.86,1,"logit",1,-0.508202223976896,0
"Opportunity 3","Easy","A52568","Math",3,"1.Probability","1.Probability.5","Math_G3",-0.611635865921864,0.58,1,"logit",1,-0.611635865921864,0
"Opportunity 2","Easy","A82747","Math",3,"3.Geometry","3.Geometry.4","Math_G3",0.280121159913752,0.5,1,"logit",1,0.280121159913752,0
"Opportunity 3","Easy","A86559","Math",3,"2.Algebra","2.Algebra.3","Math_G3",-0.586792537692827,0.7,2,"adjacent logit",-1.81055493306734,0.63696985768169,NA
"Opportunity 2","Easy","A59567","Math",3,"3.Geometry","3.Geometry.6","Math_G3",-0.661498482669225,0.75,1,"logit",1,-0.661498482669225,0
"Opportunity 1","Easy","A50679","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",0.841190537673224,0.65,1,"logit",1,0.841190537673224,0
"Opportunity 1","Easy","A59018","Natural Science",5,"1.Biology","1.Biology.4","Natural Science_G5",-1.9497483857159,0.73,1,"logit",1,-1.9497483857159,0
"Opportunity 3","Easy","A10747","Language Arts",4,"1.Vocabulary","1.Vocabulary.2","Language Arts_G4",-2.07757986193785,0.58,1,"logit",1,-2.07757986193785,0
"Opportunity 1","Easy","A21664","Math",3,"3.Geometry","3.Geometry.4","Math_G3",-2.0962625097989,0.83,1,"logit",1,-2.0962625097989,0
"Opportunity 3","Easy","A85922","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",-0.0139649632909237,0.93,1,"logit",1,-0.0139649632909237,0
"Opportunity 1","Easy","A37125","Math",3,"2.Algebra","2.Algebra.2","Math_G3",-0.685578504473445,0.9,1,"logit",1,-0.685578504473445,0
"Opportunity 2","Easy","A81190","Math",3,"4.Measurement","4.Measurement.3","Math_G3",-1.1455315836869,0.61,2,"adjacent logit",-3.09067170986816,0.799608542494354,NA
"Opportunity 1","Easy","A75676","Math",3,"4.Measurement","4.Measurement.4","Math_G3",-0.595708602864377,0.76,1,"logit",1,-0.595708602864377,0
"Opportunity 1","Easy","A86598","Language Arts",4,"1.Vocabulary","1.Vocabulary.4","Language Arts_G4",-0.234096833290687,0.61,1,"logit",1,-0.234096833290687,0
"Opportunity 1","Easy","A20511","Natural Science",5,"4.Chemistry","4.Chemistry.6","Natural Science_G5",-0.753215691245104,0.76,1,"logit",1,-0.753215691245104,0
"Opportunity 2","Easy","A45358","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-0.538195013938505,0.98,1,"logit",1,-0.538195013938505,0
"Opportunity 2","Easy","A53062","Natural Science",5,"3.Earth Science","3.Earth Science.3","Natural Science_G5",-0.355924757398364,0.98,1,"logit",1,-0.355924757398364,0
"Opportunity 1","Easy","A19906","Language Arts",4,"1.Vocabulary","1.Vocabulary.1","Language Arts_G4",-2.33357724115361,0.69,2,"adjacent logit",-3.09474433542699,-1.57241014688024,NA
"Opportunity 3","Easy","A88931","Math",3,"1.Probability","1.Probability.2","Math_G3",-1.38802408165641,0.6,1,"logit",1,-1.38802408165641,0
"Opportunity 1","Easy","A49149","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",0.432353869789796,0.97,1,"logit",1,0.432353869789796,0
"Opportunity 3","Easy","A11329","Language Arts",4,"2.Reading","2.Reading.2","Language Arts_G4",2.30258763595826,0.87,1,"logit",1,2.30258763595826,0
"Opportunity 1","Easy","A63400","Natural Science",5,"4.Chemistry","4.Chemistry.1","Natural Science_G5",-2.04438621791881,0.53,1,"logit",1,-2.04438621791881,0
"Opportunity 3","Easy","A62542","Natural Science",5,"3.Earth Science","3.Earth Science.6","Natural Science_G5",-0.159688834808336,0.68,2,"adjacent logit",-3.42685577975074,3.10747811013407,NA
"Opportunity 1","Easy","A53909","Language Arts",4,"1.Vocabulary","1.Vocabulary.4","Language Arts_G4",-1.21464867815617,0.91,1,"logit",1,-1.21464867815617,0
"Opportunity 2","Easy","A58888","Math",3,"2.Algebra","2.Algebra.3","Math_G3",-0.113713910102247,0.51,2,"adjacent logit",-2.34100052225249,2.113572702048,NA
"Opportunity 3","Easy","A89596","Math",3,"3.Geometry","3.Geometry.4","Math_G3",-2.11383737872408,0.64,1,"logit",1,-2.11383737872408,0
"Opportunity 2","Easy","A65988","Natural Science",5,"3.Earth Science","3.Earth Science.5","Natural Science_G5",0.812156455767745,0.89,1,"logit",1,0.812156455767745,0
"Opportunity 2","Easy","A31882","Math",3,"2.Algebra","2.Algebra.5","Math_G3",1.13935394374935,0.76,1,"logit",1,1.13935394374935,0
"Opportunity 2","Easy","A30989","Natural Science",5,"2.Physics","2.Physics.1","Natural Science_G5",-1.63621640158375,0.85,1,"logit",1,-1.63621640158375,0
"Opportunity 1","Easy","A34195","Math",3,"1.Probability","1.Probability.4","Math_G3",-1.76960665291175,0.81,1,"logit",1,-1.76960665291175,0
"Opportunity 3","Easy","A58076","Natural Science",5,"1.Biology","1.Biology.6","Natural Science_G5",-0.146460187645799,0.98,2,"adjacent logit",-3.06568199865958,2.77276162336798,NA
"Opportunity 3","Easy","A17833","Language Arts",4,"1.Vocabulary","1.Vocabulary.5","Language Arts_G4",-0.0356380561639794,0.9,1,"logit",1,-0.0356380561639794,0
"Opportunity 3","Easy","A39524","Natural Science",5,"3.Earth Science","3.Earth Science.1","Natural Science_G5",0.477873898028304,0.68,1,"logit",1,0.477873898028304,0
"Opportunity 1","Easy","A12102","Math",3,"3.Geometry","3.Geometry.3","Math_G3",-0.524858673401446,0.82,1,"logit",1,-0.524858673401446,0
"Opportunity 1","Easy","A25658","Math",3,"2.Algebra","2.Algebra.3","Math_G3",-0.557655969145856,0.69,1,"logit",1,-0.557655969145856,0
"Opportunity 3","Easy","A22561","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",1.59065281145221,0.69,1,"logit",1,1.59065281145221,0
"Opportunity 3","Easy","A96478","Math",3,"4.Measurement","4.Measurement.4","Math_G3",-1.3970900062581,0.68,2,"adjacent logit",-2.15491322588333,-0.639266786632879,NA
"Opportunity 2","Easy","A98586","Language Arts",4,"3.Grammar","3.Grammar.1","Language Arts_G4",-1.36540221021273,0.86,1,"logit",1,-1.36540221021273,0
"Opportunity 1","Easy","A32409","Math",3,"3.Geometry","3.Geometry.3","Math_G3",-0.673535843122246,0.81,1,"logit",1,-0.673535843122246,0
"Opportunity 2","Easy","A71158","Math",3,"4.Measurement","4.Measurement.6","Math_G3",-0.210769683539911,0.85,1,"logit",1,-0.210769683539911,0
"Opportunity 3","Easy","A70330","Math",3,"2.Algebra","2.Algebra.4","Math_G3",-1.07181176006606,0.55,1,"logit",1,-1.07181176006606,0
"Opportunity 3","Easy","A82524","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-1.81688221195813,0.84,1,"logit",1,-1.81688221195813,0
"Opportunity 1","Easy","A72307","Natural Science",5,"2.Physics","2.Physics.5","Natural Science_G5",0.773234576754422,0.72,1,"logit",1,0.773234576754422,0
"Opportunity 1","Easy","A14348","Math",3,"2.Algebra","2.Algebra.6","Math_G3",0.192251196291626,0.99,1,"logit",1,0.192251196291626,0
"Opportunity 2","Easy","A28313","Natural Science",5,"2.Physics","2.Physics.2","Natural Science_G5",-0.972184515616225,0.94,1,"logit",1,-0.972184515616225,0
"Opportunity 3","Easy","A73166","Natural Science",5,"3.Earth Science","3.Earth Science.4","Natural Science_G5",-0.0300872137896917,0.81,1,"logit",1,-0.0300872137896917,0
"Opportunity 3","Easy","A92975","Language Arts",4,"4.Writing","4.Writing.2","Language Arts_G4",-1.91406600943327,0.84,1,"logit",1,-1.91406600943327,0
"Opportunity 1","Easy","A26717","Natural Science",5,"1.Biology","1.Biology.1","Natural Science_G5",-1.18950312728735,0.65,1,"logit",1,-1.18950312728735,0
"Opportunity 3","Easy","A88406","Language Arts",4,"3.Grammar","3.Grammar.4","Language Arts_G4",-0.0997350644957897,0.74,1,"logit",1,-0.0997350644957897,0
"Opportunity 3","Easy","A27688","Language Arts",4,"2.Reading","2.Reading.3","Language Arts_G4",-0.573634541904702,0.96,1,"logit",1,-0.573634541904702,0
"Opportunity 3","Easy","A76663","Language Arts",4,"4.Writing","4.Writing.3","Language Arts_G4",0.124423762049711,0.92,1,"logit",1,0.124423762049711,0
"Opportunity 1","Easy","A72222","Language Arts",4,"4.Writing","4.Writing.3","Language Arts_G4",-0.685087101215473,0.53,1,"logit",1,-0.685087101215473,0
"Opportunity 1","Easy","A27749","Language Arts",4,"4.Writing","4.Writing.1","Language Arts_G4",-3.65769593663833,0.97,1,"logit",1,-3.65769593663833,0
