Opps,Form,ItemId,Subject,Grade,Reporting_Category,Knowledge_and_Skill,Subject_Grade,difficulty,P.Value
Opportunity 1,Easy,A25859,Natural Science,5,2.Physics,2.Physics.2,Natural Science_G5,1.3543472132162269,0.82
Opportunity 2,Easy,A70260,Math,3,3.Geometry,3.Geometry.5,Math_G3,0.1287145912739367,0.67
Opportunity 2,Easy,A75326,Language Arts,4,4.Writing,4.Writing.3,Language Arts_G4,-1.0482660613912491,0.96
Opportunity 1,Easy,A46090,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,-2.9424682663551955,0.83
Opportunity 3,Easy,A68715,Math,3,3.Geometry,3.Geometry.6,Math_G3,0.03677192796965001,0.76
Opportunity 2,Easy,A63207,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,-0.4965917179057701,0.74
Opportunity 3,Easy,A60514,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,-1.189268103518022,0.81
Opportunity 3,Easy,A58905,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,-2.006859283123849,0.72
Opportunity 2,Easy,A61882,Math,3,4.Measurement,4.Measurement.5,Math_G3,-0.18566785519560658,0.77
Opportunity 1,Easy,A31744,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-1.0245945557885212,0.84
Opportunity 3,Easy,A57270,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,0.6600567563284645,0.8
Opportunity 2,Easy,A85964,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-0.24651334022413474,0.6
Opportunity 3,Easy,A95232,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,-1.973887085172229,0.52
Opportunity 3,Easy,A93479,Language Arts,4,3.Grammar,3.Grammar.1,Language Arts_G4,-1.3189127866705541,0.5
Opportunity 1,Easy,A76375,Language Arts,4,2.Reading,2.Reading.2,Language Arts_G4,-1.5394358844251357,0.67
Opportunity 2,Easy,A81044,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,0.8508134845180202,0.72
Opportunity 2,Easy,A26077,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,-0.6811473851697339,0.96
Opportunity 2,Easy,A44005,Math,3,1.Probability,1.Probability.6,Math_G3,-0.8562042445582585,0.69
Opportunity 3,Easy,A10019,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,-0.5719236668848291,0.83
Opportunity 2,Easy,A20995,Math,3,3.Geometry,3.Geometry.5,Math_G3,-0.47472699829105286,0.54
Opportunity 3,Easy,A14169,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-1.1379248172886132,0.59
Opportunity 3,Easy,A87097,Math,3,3.Geometry,3.Geometry.6,Math_G3,-0.9909078893164631,0.63
Opportunity 3,Easy,A63949,Math,3,2.Algebra,2.Algebra.2,Math_G3,-0.9379439710184218,0.8
Opportunity 1,Easy,A10459,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-0.06597745510837283,0.52
Opportunity 3,Easy,A63745,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,0.9254466750095316,0.65
Opportunity 2,Easy,A60647,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-0.80393001229026,0.74
Opportunity 2,Easy,A63451,Math,3,4.Measurement,4.Measurement.3,Math_G3,-0.19231745236729159,0.76
Opportunity 3,Easy,A12141,Math,3,4.Measurement,4.Measurement.6,Math_G3,-0.7602146869039225,0.85
Opportunity 2,Easy,A38416,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,-0.9993643919623295,0.69
Opportunity 1,Easy,A15217,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,-1.5496783583410392,0.71
Opportunity 3,Easy,A69986,Math,3,3.Geometry,3.Geometry.6,Math_G3,-0.06857194611572315,0.57
Opportunity 3,Easy,A61840,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-0.23507596457670787,0.53
Opportunity 1,Easy,A36490,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,-0.33896058439484483,0.95
Opportunity 3,Easy,A19470,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-0.995914822690056,0.64
Opportunity 1,Easy,A81146,Math,3,2.Algebra,2.Algebra.4,Math_G3,0.2543501768115757,0.79
Opportunity 1,Easy,A61261,Language Arts,4,4.Writing,4.Writing.5,Language Arts_G4,-1.6303882169309,0.85
Opportunity 3,Easy,A87506,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,-2.184269715810448,0.78
Opportunity 3,Easy,A99422,Math,3,1.Probability,1.Probability.4,Math_G3,-1.437703434293205,0.92
Opportunity 2,Easy,A40073,Language Arts,4,1.Vocabulary,1.Vocabulary.6,Language Arts_G4,-0.6924747267554077,0.74
Opportunity 3,Easy,A61736,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,-2.688941560694941,0.91
Opportunity 1,Easy,A31118,Natural Science,5,4.Chemistry,4.Chemistry.3,Natural Science_G5,-0.6202860016212934,0.65
Opportunity 3,Easy,A89725,Language Arts,4,2.Reading,2.Reading.1,Language Arts_G4,-3.9897618468446074,0.87
Opportunity 3,Easy,A26215,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,0.039449331476441585,0.95
Opportunity 2,Easy,A22790,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-0.8381641899741109,0.64
Opportunity 2,Easy,A53789,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-0.5090386660042916,0.57
Opportunity 3,Easy,A47102,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,0.08446391407316467,0.94
Opportunity 3,Easy,A83469,Math,3,3.Geometry,3.Geometry.6,Math_G3,-2.4182870434970116,0.52
Opportunity 3,Easy,A26981,Language Arts,4,4.Writing,4.Writing.6,Language Arts_G4,-0.8747691545824785,0.91
Opportunity 3,Easy,A48576,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,1.267604502604646,0.55
Opportunity 2,Easy,A45657,Language Arts,4,3.Grammar,3.Grammar.2,Language Arts_G4,-0.6106420224011503,0.74
Opportunity 1,Easy,A52762,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,-1.5580829726670187,0.94
Opportunity 1,Easy,A76177,Language Arts,4,2.Reading,2.Reading.4,Language Arts_G4,-0.9682956270132446,0.55
Opportunity 2,Easy,A47323,Math,3,3.Geometry,3.Geometry.3,Math_G3,-1.732578904405091,0.95
Opportunity 3,Easy,A50915,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,-0.8677718643510449,0.96
Opportunity 1,Easy,A55398,Language Arts,4,2.Reading,2.Reading.1,Language Arts_G4,-0.05266699592792512,0.57
Opportunity 3,Easy,A20452,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,0.5879994478180992,0.52
Opportunity 2,Easy,A42451,Natural Science,5,4.Chemistry,4.Chemistry.4,Natural Science_G5,-0.5687087111109448,0.94
Opportunity 1,Easy,A51743,Math,3,1.Probability,1.Probability.4,Math_G3,-0.935115918813577,0.9
Opportunity 1,Easy,A34447,Natural Science,5,1.Biology,1.Biology.5,Natural Science_G5,-1.8338365366084686,0.67
Opportunity 3,Easy,A69830,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-0.8586570451407464,0.68
Opportunity 2,Easy,A36930,Language Arts,4,1.Vocabulary,1.Vocabulary.6,Language Arts_G4,-0.508202223976896,0.86
Opportunity 3,Easy,A52568,Math,3,1.Probability,1.Probability.5,Math_G3,-0.6116358659218643,0.58
Opportunity 2,Easy,A82747,Math,3,3.Geometry,3.Geometry.4,Math_G3,0.28012115991375186,0.5
Opportunity 3,Easy,A86559,Math,3,2.Algebra,2.Algebra.3,Math_G3,-0.5867925376928275,0.7
Opportunity 2,Easy,A59567,Math,3,3.Geometry,3.Geometry.6,Math_G3,-0.6614984826692253,0.75
Opportunity 1,Easy,A50679,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,0.8411905376732243,0.65
Opportunity 1,Easy,A59018,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-1.9497483857158973,0.73
Opportunity 3,Easy,A10747,Language Arts,4,1.Vocabulary,1.Vocabulary.2,Language Arts_G4,-2.0775798619378456,0.58
Opportunity 1,Easy,A21664,Math,3,3.Geometry,3.Geometry.4,Math_G3,-2.0962625097988967,0.83
Opportunity 3,Easy,A85922,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,-0.013964963290923671,0.93
Opportunity 1,Easy,A37125,Math,3,2.Algebra,2.Algebra.2,Math_G3,-0.685578504473445,0.9
Opportunity 2,Easy,A81190,Math,3,4.Measurement,4.Measurement.3,Math_G3,-1.1455315836869016,0.61
Opportunity 1,Easy,A75676,Math,3,4.Measurement,4.Measurement.4,Math_G3,-0.5957086028643768,0.76
Opportunity 1,Easy,A86598,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,-0.2340968332906872,0.61
Opportunity 1,Easy,A20511,Natural Science,5,4.Chemistry,4.Chemistry.6,Natural Science_G5,-0.753215691245104,0.76
Opportunity 2,Easy,A45358,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-0.5381950139385052,0.98
Opportunity 2,Easy,A53062,Natural Science,5,3.Earth Science,3.Earth Science.3,Natural Science_G5,-0.3559247573983644,0.98
Opportunity 1,Easy,A19906,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-2.333577241153614,0.69
Opportunity 3,Easy,A88931,Math,3,1.Probability,1.Probability.2,Math_G3,-1.3880240816564131,0.6
Opportunity 1,Easy,A49149,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,0.4323538697897962,0.97
Opportunity 3,Easy,A11329,Language Arts,4,2.Reading,2.Reading.2,Language Arts_G4,2.3025876359582558,0.87
Opportunity 1,Easy,A63400,Natural Science,5,4.Chemistry,4.Chemistry.1,Natural Science_G5,-2.0443862179188113,0.53
Opportunity 3,Easy,A62542,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-0.15968883480833573,0.68
Opportunity 1,Easy,A53909,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,-1.2146486781561683,0.91
Opportunity 2,Easy,A58888,Math,3,2.Algebra,2.Algebra.3,Math_G3,-0.11371391010224674,0.51
Opportunity 3,Easy,A89596,Math,3,3.Geometry,3.Geometry.4,Math_G3,-2.113837378724078,0.64
Opportunity 2,Easy,A65988,Natural Science,5,3.Earth Science,3.Earth Science.5,Natural Science_G5,0.812156455767745,0.89
Opportunity 2,Easy,A31882,Math,3,2.Algebra,2.Algebra.5,Math_G3,1.1393539437493467,0.76
Opportunity 2,Easy,A30989,Natural Science,5,2.Physics,2.Physics.1,Natural Science_G5,-1.6362164015837537,0.85
Opportunity 1,Easy,A34195,Math,3,1.Probability,1.Probability.4,Math_G3,-1.7696066529117536,0.81
Opportunity 3,Easy,A58076,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,-0.1464601876457995,0.98
Opportunity 3,Easy,A17833,Language Arts,4,1.Vocabulary,1.Vocabulary.5,Language Arts_G4,-0.035638056163979415,0.9
Opportunity 3,Easy,A39524,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,0.47787389802830393,0.68
Opportunity 1,Easy,A12102,Math,3,3.Geometry,3.Geometry.3,Math_G3,-0.5248586734014458,0.82
Opportunity 1,Easy,A25658,Math,3,2.Algebra,2.Algebra.3,Math_G3,-0.5576559691458562,0.69
Opportunity 3,Easy,A22561,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,1.5906528114522096,0.69
Opportunity 3,Easy,A96478,Math,3,4.Measurement,4.Measurement.4,Math_G3,-1.3970900062581049,0.68
Opportunity 2,Easy,A98586,Language Arts,4,3.Grammar,3.Grammar.1,Language Arts_G4,-1.3654022102127272,0.86
Opportunity 1,Easy,A32409,Math,3,3.Geometry,3.Geometry.3,Math_G3,-0.6735358431222458,0.81
Opportunity 2,Easy,A71158,Math,3,4.Measurement,4.Measurement.6,Math_G3,-0.21076968353991066,0.85
Opportunity 3,Easy,A70330,Math,3,2.Algebra,2.Algebra.4,Math_G3,-1.0718117600660635,0.55
Opportunity 3,Easy,A82524,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-1.8168822119581312,0.84
Opportunity 1,Easy,A72307,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,0.7732345767544218,0.72
Opportunity 1,Easy,A14348,Math,3,2.Algebra,2.Algebra.6,Math_G3,0.19225119629162557,0.99
Opportunity 2,Easy,A28313,Natural Science,5,2.Physics,2.Physics.2,Natural Science_G5,-0.9721845156162252,0.94
Opportunity 3,Easy,A73166,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,-0.030087213789691702,0.81
Opportunity 3,Easy,A92975,Language Arts,4,4.Writing,4.Writing.2,Language Arts_G4,-1.9140660094332709,0.84
Opportunity 1,Easy,A26717,Natural Science,5,1.Biology,1.Biology.1,Natural Science_G5,-1.1895031272873546,0.65
Opportunity 3,Easy,A88406,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,-0.09973506449578973,0.74
Opportunity 3,Easy,A27688,Language Arts,4,2.Reading,2.Reading.3,Language Arts_G4,-0.5736345419047015,0.96
Opportunity 3,Easy,A76663,Language Arts,4,4.Writing,4.Writing.3,Language Arts_G4,0.12442376204971095,0.92
Opportunity 1,Easy,A72222,Language Arts,4,4.Writing,4.Writing.3,Language Arts_G4,-0.6850871012154728,0.53
Opportunity 1,Easy,A27749,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,-3.657695936638329,0.97
Opportunity 1,Easy,A66731,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,-0.5869388408802512,0.91
Opportunity 1,Easy,A55078,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,-1.291775874324169,0.96
Opportunity 2,Easy,A50811,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,-0.3561355253545994,0.84
Opportunity 3,Easy,A19866,Language Arts,4,1.Vocabulary,1.Vocabulary.4,Language Arts_G4,-1.0973608440057179,0.73
Opportunity 2,Easy,A89821,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,-2.730456935881432,0.66
Opportunity 1,Easy,A69723,Language Arts,4,4.Writing,4.Writing.4,Language Arts_G4,0.40155986564254453,0.5
Opportunity 2,Easy,A45756,Language Arts,4,3.Grammar,3.Grammar.3,Language Arts_G4,0.5537831335162833,0.52
Opportunity 1,Easy,A88664,Math,3,4.Measurement,4.Measurement.6,Math_G3,-0.07805745985335799,0.52
Opportunity 3,Easy,A81789,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,-0.3583795023987301,0.94
Opportunity 2,Easy,A52183,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-1.0505445283107167,0.95
Opportunity 3,Easy,A25921,Math,3,4.Measurement,4.Measurement.6,Math_G3,-1.85658994162504,0.61
Opportunity 3,Easy,A25110,Natural Science,5,1.Biology,1.Biology.2,Natural Science_G5,-0.052069053641255136,0.54
Opportunity 2,Easy,A67792,Natural Science,5,4.Chemistry,4.Chemistry.5,Natural Science_G5,-0.9445665087936105,0.94
Opportunity 1,Easy,A96987,Natural Science,5,1.Biology,1.Biology.3,Natural Science_G5,-0.2722763968622084,0.95
Opportunity 3,Easy,A29398,Natural Science,5,4.Chemistry,4.Chemistry.3,Natural Science_G5,-0.36845384816240917,0.68
Opportunity 3,Easy,A84483,Natural Science,5,3.Earth Science,3.Earth Science.4,Natural Science_G5,-2.2510876082639806,0.67
Opportunity 1,Easy,A51122,Language Arts,4,3.Grammar,3.Grammar.6,Language Arts_G4,-0.6160942720283086,0.57
Opportunity 3,Easy,A78919,Language Arts,4,1.Vocabulary,1.Vocabulary.6,Language Arts_G4,-0.7195698253475507,0.89
Opportunity 3,Easy,A60259,Math,3,2.Algebra,2.Algebra.1,Math_G3,-1.6574931361255332,0.68
Opportunity 3,Easy,A67890,Math,3,2.Algebra,2.Algebra.3,Math_G3,0.1267106743048365,0.95
Opportunity 1,Easy,A27590,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,-0.0386843591060928,0.72
Opportunity 3,Easy,A42824,Math,3,2.Algebra,2.Algebra.5,Math_G3,0.07857730127933216,0.76
Opportunity 1,Easy,A89120,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,-1.2250183381622568,0.67
Opportunity 3,Easy,A65943,Math,3,3.Geometry,3.Geometry.3,Math_G3,-0.33864580432882846,0.63
Opportunity 2,Easy,A98218,Math,3,2.Algebra,2.Algebra.5,Math_G3,0.40087693385356493,0.59
Opportunity 3,Easy,A76678,Math,3,2.Algebra,2.Algebra.1,Math_G3,-2.1288292708137058,0.82
Opportunity 1,Easy,A49109,Language Arts,4,4.Writing,4.Writing.1,Language Arts_G4,0.774714467526519,0.83
Opportunity 2,Easy,A44228,Math,3,3.Geometry,3.Geometry.4,Math_G3,-0.393107636234084,0.91
Opportunity 3,Easy,A42109,Natural Science,5,4.Chemistry,4.Chemistry.6,Natural Science_G5,-1.0455247428757912,0.92
Opportunity 3,Easy,A71926,Natural Science,5,2.Physics,2.Physics.4,Natural Science_G5,-0.42106988970521486,0.8
Opportunity 3,Easy,A95065,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,-0.009284539564259342,0.83
Opportunity 1,Easy,A39550,Math,3,4.Measurement,4.Measurement.2,Math_G3,0.9385414073957363,0.86
Opportunity 1,Easy,A53319,Language Arts,4,3.Grammar,3.Grammar.5,Language Arts_G4,1.1987866121087423,0.6
Opportunity 1,Easy,A80176,Language Arts,4,2.Reading,2.Reading.1,Language Arts_G4,-1.4586359472645645,0.57
Opportunity 3,Easy,A39408,Natural Science,5,2.Physics,2.Physics.2,Natural Science_G5,0.06227782440559382,0.57
Opportunity 2,Easy,A82803,Language Arts,4,1.Vocabulary,1.Vocabulary.3,Language Arts_G4,0.1677069755938222,0.52
Opportunity 1,Easy,A54598,Math,3,4.Measurement,4.Measurement.1,Math_G3,0.35776591057247065,0.81
Opportunity 3,Easy,A55109,Math,3,2.Algebra,2.Algebra.1,Math_G3,-2.925017511814736,0.75
Opportunity 1,Easy,A35431,Natural Science,5,1.Biology,1.Biology.5,Natural Science_G5,-1.0458992925020802,0.8
Opportunity 2,Easy,A87414,Language Arts,4,3.Grammar,3.Grammar.4,Language Arts_G4,-1.897777019855491,0.84
Opportunity 3,Easy,A35814,Language Arts,4,2.Reading,2.Reading.6,Language Arts_G4,-1.6328607346749802,0.9
Opportunity 3,Easy,A64590,Language Arts,4,1.Vocabulary,1.Vocabulary.5,Language Arts_G4,-0.7657680720397878,0.94
Opportunity 1,Easy,A95205,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,-0.6077788312622533,0.66
Opportunity 2,Easy,A47605,Language Arts,4,1.Vocabulary,1.Vocabulary.1,Language Arts_G4,-1.1269065853217723,0.58
Opportunity 2,Easy,A24099,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,-1.1498477977103654,0.63
Opportunity 2,Easy,A61323,Math,3,2.Algebra,2.Algebra.2,Math_G3,-0.0229557421303771,0.9
Opportunity 2,Easy,A67620,Math,3,3.Geometry,3.Geometry.6,Math_G3,-0.7932978187019653,0.91
Opportunity 2,Easy,A73349,Natural Science,5,1.Biology,1.Biology.6,Natural Science_G5,-2.5899232853148337,0.57
Opportunity 2,Easy,A36402,Natural Science,5,3.Earth Science,3.Earth Science.6,Natural Science_G5,-0.988255179749739,0.76
Opportunity 1,Easy,A88743,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-0.42697240404923265,0.8
Opportunity 1,Easy,A94927,Language Arts,4,2.Reading,2.Reading.1,Language Arts_G4,-1.4457427021723672,0.54
Opportunity 3,Easy,A72310,Natural Science,5,3.Earth Science,3.Earth Science.2,Natural Science_G5,-0.832817222696686,0.52
Opportunity 3,Easy,A57856,Math,3,2.Algebra,2.Algebra.5,Math_G3,-1.5635297977289493,0.78
Opportunity 3,Easy,A88994,Natural Science,5,1.Biology,1.Biology.4,Natural Science_G5,-0.25918444775907956,0.77
Opportunity 2,Easy,A88898,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,-0.6154420372684585,0.51
Opportunity 2,Easy,A49336,Math,3,4.Measurement,4.Measurement.6,Math_G3,1.1463455484980059,0.7
Opportunity 1,Easy,A76470,Math,3,4.Measurement,4.Measurement.1,Math_G3,-0.44501623622409403,0.95
Opportunity 1,Easy,A48417,Math,3,1.Probability,1.Probability.3,Math_G3,-0.4866190510670662,0.79
Opportunity 3,Easy,A19032,Natural Science,5,2.Physics,2.Physics.3,Natural Science_G5,-0.23810642822030337,0.67
Opportunity 2,Easy,A57404,Natural Science,5,3.Earth Science,3.Earth Science.1,Natural Science_G5,-0.7991609781942699,0.88
Opportunity 3,Easy,A13192,Natural Science,5,2.Physics,2.Physics.5,Natural Science_G5,-1.742464764201066,0.84
Opportunity 3,Easy,A15454,Natural Science,5,1.Biology,1.Biology.1,Natural Science_G5,-0.9351725161121407,0.72
